filename,beta,gamma,sim_id,num_rows,max_time,generated_at
b0.10_g0.30_sim36.csv,0.1,0.30000000000000004,36,15,14.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim37.csv,0.1,0.30000000000000004,37,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim38.csv,0.1,0.30000000000000004,38,22,21.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim39.csv,0.1,0.30000000000000004,39,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim40.csv,0.1,0.30000000000000004,40,24,23.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim41.csv,0.1,0.30000000000000004,41,19,18.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim42.csv,0.1,0.30000000000000004,42,18,17.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim43.csv,0.1,0.30000000000000004,43,17,16.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim44.csv,0.1,0.30000000000000004,44,28,27.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim45.csv,0.1,0.30000000000000004,45,17,16.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim46.csv,0.1,0.30000000000000004,46,24,23.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim47.csv,0.1,0.30000000000000004,47,15,14.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim48.csv,0.1,0.30000000000000004,48,29,28.0,2025-04-07T21:22:44.761847
b0.10_g0.30_sim49.csv,0.1,0.30000000000000004,49,21,20.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim0.csv,0.1,0.4,0,15,14.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim1.csv,0.1,0.4,1,18,17.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim2.csv,0.1,0.4,2,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim3.csv,0.1,0.4,3,15,14.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim4.csv,0.1,0.4,4,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim5.csv,0.1,0.4,5,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim6.csv,0.1,0.4,6,12,11.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim7.csv,0.1,0.4,7,13,12.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim8.csv,0.1,0.4,8,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim9.csv,0.1,0.4,9,13,12.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim10.csv,0.1,0.4,10,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim11.csv,0.1,0.4,11,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim12.csv,0.1,0.4,12,14,13.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim13.csv,0.1,0.4,13,12,11.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim14.csv,0.1,0.4,14,21,20.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim15.csv,0.1,0.4,15,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim16.csv,0.1,0.4,16,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim17.csv,0.1,0.4,17,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim18.csv,0.1,0.4,18,18,17.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim19.csv,0.1,0.4,19,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim20.csv,0.1,0.4,20,14,13.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim21.csv,0.1,0.4,21,14,13.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim22.csv,0.1,0.4,22,19,18.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim23.csv,0.1,0.4,23,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim24.csv,0.1,0.4,24,15,14.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim25.csv,0.1,0.4,25,21,20.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim26.csv,0.1,0.4,26,17,16.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim27.csv,0.1,0.4,27,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim28.csv,0.1,0.4,28,18,17.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim29.csv,0.1,0.4,29,14,13.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim30.csv,0.1,0.4,30,19,18.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim31.csv,0.1,0.4,31,12,11.0,2025-04-07T21:22:44.761847
